blikvanger.enabled,object_type_specifications.appartment.type,publish_date,location.lat,location.lon,floor_area,plot_area,exterior_space.type,exterior_space.garden_orientation,number_of_rooms,number_of_bedrooms,address.municipality,address.neighbourhood,address.wijk,address.street_name,price.selling_price,price.selling_price_condition,construction_type,construction_period,surrounding,garage.type,energy_label,amenities,accessibility,object_type_specifications.house.type,object_type_specifications.house.orientation,exterior_space.garden_size,garage.total_capacity,blikvanger.text,project.url,offering_type,object_type,address.province
False,flat_with_porch,2024-09-28T00:00:02.4270000,51.939918518066406,4.553237438201904,[86],[0],['balcony'],[],3.0,2.0,Rotterdam,Prinsenland,Prins Alexander,Prinsenlaan,[380000],kosten_koper,resale,from_1991_to_2000,"['on_busy_road', 'in_residential_district', 'unobstructed_view']",[],C,['central_heating_boiler'],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-27T08:58:25.8630000,52.03913879394531,4.6380133628845215,[104],[130],['garden'],"['south', 'east']",5.0,4.0,Waddinxveen,Zuidplas 80,Wijk 02,Graanakker,[419000],kosten_koper,resale,from_1981_to_1990,"['on_quiet_road', 'in_residential_district']",[],B,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,62.0,,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-09-27T00:00:03.2900000,51.87150192260742,4.594335556030273,[57],[0],['balcony'],[],3.0,2.0,Ridderkerk,Centrum,Centrum,Jhr. Van Karnebeekweg,[225000],kosten_koper,resale,from_1945_to_1959,"['overlooking_park', 'in_center', 'in_residential_district', 'unobstructed_view']",[],G,"['bathtub', 'central_heating_boiler']",['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
False,,2024-09-26T20:15:02.5700000,51.90447616577149,4.243520259857178,[128],[242],['garden'],['north'],5.0,4.0,Rotterdam,Rozenburg,Rozenburg,Laan van Nieuw Rozenburg,[450000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],B,"['central_heating_boiler', 'renewable_energy']",[],single_family,double,108.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-26T17:22:04.2200000,51.859962463378906,4.489063262939453,[131],[184],['garden'],['south'],5.0,4.0,Barendrecht,Vrijheidsakker,Wijk 19 Vrijheidsakker,Jansen-akker,[525000],kosten_koper,resale,from_2001_to_2010,['in_residential_district'],[],A,"['bathtub', 'central_heating_boiler']",[],single_family,corner,50.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-27T00:00:03.2900000,52.02447891235352,5.19185733795166,[157],[230],['garden'],[],5.0,4.0,Houten,Meren,Houten Zuid-Oost,Stuwmeer,[785000],kosten_koper,resale,from_1991_to_2000,"['by_water', 'in_residential_district', 'unobstructed_view']","['lean_to', 'all_garages']",A,"['bathtub', 'central_heating_boiler', 'fireplace', 'renewable_energy']",[],single_family,double,,1.0,,,['buy'],house,Utrecht
True,,2024-09-26T19:15:02.7270000,51.94490051269531,4.706960678100586,[131],[178],['garden'],"['north', 'east']",6.0,5.0,Krimpenerwaard,Berkenwoude,Wijk 07 Berkenwoude,Prins Bernhardstraat,[375000],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']",[],C,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,63.0,,Verkocht onder voorbehoud! Ook verkopen? Wij helpen je graag!,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-09-26T17:00:03.1230000,51.9907455444336,4.356146812438965,[110],[0],['balcony'],[],5.0,4.0,Delft,Roland Holstbuurt,Wijk 24 Voorhof,Roland Holstlaan,[339000],kosten_koper,resale,from_1960_to_1970,"['on_quiet_road', 'in_residential_district']",[],E,[],['single_storey'],,,,,,,['buy'],apartment,Zuid-Holland
True,,2024-09-27T00:00:03.2900000,51.9158821105957,4.311278343200684,[110],[297],"['garden', 'balcony']",['south'],4.0,3.0,Vlaardingen,Lage Weide,Westwijk,Boerhaavestraat,[369000],kosten_koper,resale,from_1945_to_1959,['in_residential_district'],"['garage_possible', 'all_garages']",E,['central_heating_boiler'],[],single_family,terraced,73.0,,Eengezinswoning met heerlijke achtertuin op het zuiden aan singel,,['buy'],house,Zuid-Holland
False,upper_floor,2024-09-26T16:00:03.6670000,51.94163131713867,4.4232563972473145,[76],[0],['balcony'],[],3.0,2.0,Rotterdam,Overschie,Overschie,Willem de Zwijgerstraat,[315000],kosten_koper,resale,from_1906_to_1930,"['in_residential_district', 'unobstructed_view']",[],D,['renewable_energy'],[],,,,,,,['buy'],apartment,Zuid-Holland
True,upper_floor,2024-09-26T15:30:03.3500000,52.04220199584961,4.278831005096436,[66],[0],['balcony'],[],4.0,3.0,Den Haag,Morgenstond-Zuid,Wijk 34 Morgenstond,Steenwijklaan,[210000],kosten_koper,resale,from_1945_to_1959,"['on_quiet_road', 'in_residential_district']",[],C,['central_heating_boiler'],['single_storey'],,,,,"Ruim appartement met 3 slaapkamers, zonnig balkon en berging!",,['buy'],apartment,Zuid-Holland
False,,2024-09-27T00:00:03.2900000,51.90763473510742,4.174288272857666,[92],[50],['terrace'],"['south', 'west']",3.0,2.0,Voorne aan Zee,Noord Meeuwenoord,Brielle,Veerweg,[465000],kosten_koper,resale,from_2011_to_2020,"['on_quiet_road', 'by_water']",[],A,"['bathtub', 'central_heating_boiler']",[],single_family,terraced,20.0,,,,['buy'],house,Zuid-Holland
True,,2024-09-26T15:15:03.1730000,52.02652740478516,4.864096164703369,[111],[155],['garden'],"['south', 'west']",5.0,4.0,Oudewater,Klein Hekendorp,Oudewater,Schakenbosdreef,[385000],kosten_koper,resale,from_1971_to_1980,['in_residential_district'],[],C,['central_heating_boiler'],[],single_family,terraced,57.0,,Ruime tussenwoning op een leuk plekje met een zonnige tuinligging!,,['buy'],house,Utrecht
False,,2024-09-26T15:00:04.3930000,51.86214065551758,4.611283302307129,[111],[118],['garden'],"['south', 'west']",5.0,4.0,Ridderkerk,Drievliet,Drievliet,Koolmees,[373800],kosten_koper,resale,from_1971_to_1980,"['on_quiet_road', 'in_residential_district']",[],C,['central_heating_boiler'],[],single_family,terraced,53.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-26T15:00:04.3930000,51.82963943481445,4.157036304473877,[117],[163],['garden'],"['south', 'east']",5.0,4.0,Voorne aan Zee,Hout Hoeffe,De Kooistee,Koolwitje,[300000],kosten_koper,resale,from_1981_to_1990,"['on_quiet_road', 'in_residential_district']",[],C,"['central_heating_boiler', 'renewable_energy']",[],single_family,corner,71.0,,,,['buy'],house,Zuid-Holland
True,upper_floor,2024-09-28T00:00:02.4270000,52.02701950073242,4.282983303070068,[73],[0],['balcony'],[],2.0,1.0,Westland,Vliettuinen,Wijk 06 Wateringen,Vlietlaan,[325000],kosten_koper,resale,from_2001_to_2010,"['on_quiet_road', 'by_water', 'in_residential_district', 'unobstructed_view']",[],A,['central_heating_boiler'],['single_storey'],,,,,Keurig 2-kamerappartement op loopafstand van het centrum!,,['buy'],apartment,Zuid-Holland
False,,2024-09-26T13:15:02.7400000,51.836570739746094,4.699672222137451,[89],[131],['garden'],"['south', 'west']",5.0,4.0,Papendrecht,Zuiddonk,Wilgendonk,Elzenzoom,[369500],kosten_koper,resale,from_1981_to_1990,['in_residential_district'],[],A,"['central_heating_boiler', 'renewable_energy']",[],single_family,terraced,45.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-26T09:11:21.8730000,51.8687629699707,4.620752334594727,[131],[169],['garden'],[],5.0,4.0,Ridderkerk,Het Zand,Het Zand,Zeemanstraat,[489000],kosten_koper,resale,from_1991_to_2000,"['on_quiet_road', 'in_residential_district']",[],A,"['bathtub', 'central_heating_boiler', 'fireplace', 'renewable_energy']",[],single_family,corner,,,,,['buy'],house,Zuid-Holland
False,flat_with_porch,2024-09-28T00:00:02.4270000,51.998626708984375,4.350757122039795,[85],[0],['balcony'],[],4.0,3.0,Delft,Poptahof-Zuid,Wijk 24 Voorhof,Palmyraplaats,[425000],kosten_koper,resale,from_2011_to_2020,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']","['parking_space', 'all_garages']",A,[],"['lift', 'single_storey']",,,,,,,['buy'],apartment,Zuid-Holland
True,,2024-09-26T03:30:01.9830000,51.81888961791992,5.09295654296875,[141],[451],['garden'],[],5.0,3.0,Zaltbommel,Brakel,Wijk 01 Brakel,Burgemeester Posweg,[520000],kosten_koper,resale,from_1906_to_1930,['in_center'],"['detached', 'all_garages']",C,"['bathtub', 'central_heating_boiler', 'renewable_energy']",[],single_family,detached,,1.0,Ruime garage | Royale oprit | Duurzaam | Carport | Overkapping,,['buy'],house,Gelderland
True,,2024-09-25T21:48:59.2600000,51.91265487670898,4.582031726837158,[69],[385],['garden'],"['north', 'east']",3.0,2.0,Krimpen aan den IJssel,Oud Krimpen,Wijk 00 Krimpen aan den IJssel,Lekdijk,[375000],kosten_koper,resale,from_1906_to_1930,"['on_quiet_road', 'open_position']",[],G,['central_heating_boiler'],[],single_family,corner,224.0,,"Knusse woning met ruime tuin, dichtbij alle voorzieningen!",,['buy'],house,Zuid-Holland
False,,2024-09-25T16:07:35.5470000,52.04652404785156,4.378459453582764,[154],[160],['garden'],"['south', 'east']",5.0,4.0,Den Haag,Morgenweide,Wijk 42 Ypenburg,Patrijsplantsoen,[630000],kosten_koper,resale,from_2001_to_2010,"['on_quiet_road', 'in_residential_district', 'unobstructed_view']","['carport', 'all_garages']",A++,['bathtub'],[],single_family,terraced,83.0,,,,['buy'],house,Zuid-Holland
False,,2024-09-26T00:00:02.9800000,52.03157043457031,4.277669429779053,[122],[115],['garden'],"['north', 'east']",6.0,5.0,Westland,Vliettuinen,Wijk 06 Wateringen,Van der Wateringhestraat,[550000],kosten_koper,resale,from_2011_to_2020,"['on_quiet_road', 'in_residential_district']",[],A,"['bathtub', 'central_heating_boiler', 'renewable_energy']",[],single_family,terraced,23.0,,,,['buy'],house,Zuid-Holland
True,,2024-09-26T00:00:02.9800000,51.951053619384766,5.228286743164063,[102],[116],['garden'],"['north', 'east']",5.0,4.0,Culemborg,Lanxmeer,Culemborg Oost,St. Annakapelstraat,[365000],kosten_koper,resale,from_1931_to_1944,"['on_quiet_road', 'in_residential_district']",[],E,['central_heating_boiler'],[],single_family,terraced,33.0,,Centraal wonen tussen station en centrum: verassend leuk huis!,,['buy'],house,Gelderland
